1,60,20
2,20,10
3,180,5
4,50,1
5,90,20
6,90,10
7,120,5
8,80,1
9,160,20
10,70,10
11,100,5
12,80,1
13,130,20
14,30,10
15,100,5
16,30,1
17,100,20
18,70,10
19,70,5
20,10,1
21,150,20
22,80,10
23,180,5
24,90,1
25,120,20
26,30,10
27,70,5
28,40,1
29,140,20
30,50,10
31,150,5
32,30,1
33,170,20
34,40,10
35,110,5
36,10,1
37,80,20
38,100,10
39,180,5
40,80,1
41,50,20
42,60,10
43,110,5
44,100,1
45,170,20
46,80,10
47,150,5
48,70,1
49,100,20
50,50,10
51,100,5
52,90,1
53,110,20
54,20,10
55,110,5
56,90,1
57,150,20
58,80,10
59,160,5
60,60,1
61,110,20
62,60,10
63,130,5
64,90,1
65,70,20
66,20,10
67,160,5
68,100,1
69,170,20
70,40,10
71,170,5
72,100,1
73,170,20
74,20,10
75,120,5
76,40,1
77,100,20
78,30,10
79,100,5
80,50,1
81,100,20
82,90,10
83,140,5
84,10,1
85,100,20
86,50,10
87,120,5
88,70,1
89,160,20
90,90,10
91,40,5
92,20,1
93,160,20
94,40,10
95,160,5
96,40,1
97,140,20
98,90,10
99,170,5
100,50,1
